property_id	property_label	description
P11161	SR-Archiv band ID	identifier of a band in the SR-Archiv database
P11162	SR-Archiv company ID	identifier of a company in the SR-Archiv database
P11163	island code of Indonesia	identification code for islands of the Republic of Indonesia
P11164	SR-Archiv print media ID	identifier of a print media in the SR-Archiv database
P11165	SR-Archiv record ID	identifier of a record in the SR-Archiv database
P11166	EuDML work ID	identifier for a work in the European Digital Mathematics Library
P11167	NARA File Format Preservation Plan ID	identifier for a file format in NARA’s Digital Preservation Framework File Format Plans
P11168	JioSaavn artist ID	identifier for an artist on the JioSaavn streaming service
P11172	England Hockey ID	identifier for a person at the England Hockey: Altiusrt website
P11173	UWIND ID	identifier in the University Women's International Networks Database
P11174	NCUA Charter ID	number assigned to credit unions by the National Credit Union Administration
P11175	FDIC Certificate ID	unique number assigned to a depository institution by the Federal Deposit Insurance Corporation
P11176	Niconico ID	identifier for an object on Niconico
P11177	Camp Wild ID	identifier for Camp Wild shelter
P11178	Cordial Dictionary ID	identifier in the French online dictionary Cordial
P11179	MSVF ID	identifier for an authority in the catalogue of the library of the Public Benefit Foundation Michal N. Stassinopoulos-VIOHALCO
P11180	Central Library of Volos authority ID	identifier for an authority in the catalogue of the Central Library of Volos
P11181	Brazilian aerodrome identification code	national identifier of Brazilian aerodromes
P11182	UOM ID	identifier for an authority in the catalogue of the Library and Information Center of the University of Macedonia
P11184	Bank of information on the historical and cultural heritage of the Republic of Belarus	identifier for an object in the Bank of information on the historical and cultural heritage of the Republic of Belarus
P11185	Levadia Library ID	identifier for an authority in the catalogue of the Central Public Library of Levadia
P11186	IHF profile ID	numerical identifier for a player on the website of the International Handball Federation
P11187	ihg Hotel ID	identifier of a hotel operated by InterContinental Hotels Group
P11188	Conspiracy Watch person ID	identifier for a person on Conspiracy Watch
P11189	Louisiana Plant ID	identifier for a plant taxon on the Louisiana Plant Identification and Interactive Ecosystem Virtual Tours website
P11190	WMOOV movie ID	identifier for a movie on the WMOOV website
P11191	PGA of Australia player profile ID	identifier for a player profile at PGA of Australia website
P11192	Piraeus Bank Group Cultural Foundation Library (A) ID	identifier for an authority in the catalogue A of the Piraeus Bank Group Cultural Foundation Library
P11193	Piraeus Bank Group Cultural Foundation Library (B) ID	identifier for an authority in the catalogue B of the Piraeus Bank Group Cultural Foundation Library
P11194	Famous Birthdays ID	identifier for entities listed on the Famous Birthdays website
P11195	Annales des mines person ID	identifier for an engineer on the Annales des mines' website
P11196	Baidu Tieba name	name of a specific topic driven forum in Baidu Tieba
P11197	build system	build system used by a software during its development
P11198	DrugCentral ID	ID of a chemical compound in DrugCentral
P11199	Probes And Drugs ID	ID of a chemical compound in Probes And Drugs
P11200	tiratge	number of musical bars for each section of a sardana
P11201	official demo URL	demo website, that is officially recommended by the developers of the software, where the software can be tried out directly in the web browser
P11202	Musicsperlacobla sardana ID	sardana identifier used by musicsperlacobla.cat archive
P11203	Musicsperlacobla composer ID	composer identifier used by musicsperlacobla archive
P11204	Boig Sardanista sardana ID	identifier for entities in the Boig Sardanista website
P11205	pinout	mapping of the physical contacts of an electrical connector or electronic component to their functions
P11206	npm scope or username	npm scope of the given software, person or organization
P11207	IRIS UNICT author ID	identifier for an author in IRIS UNICT, the open-access repository of the University of Catania
P11208	IRIS UNIME author ID	identifier for an author in IRIS UNIME, the open-access repository of the University of Messina
P11209	IRIS UNIPA author ID	identifier for an author in IRIS UNIPA, the open-access repository of the University of Palermo
P11210	IRIS UNIKORE author ID	identifier for an author in IRIS UNIKORE, the open-access repository of the Kore University of Enna
P11211	Hlídač státu person ID	identifier of person in Hlídač státu database
P11212	sitemap URL	URL to the sitemap of the subject's official website
P11213	fedpress.ru person ID	fedpress.ru identifier for a person
P11214	UNIMARC: Medium of Performance ID	identifier for a medium of performance of musical works
P11215	OVO ID	organizational register of the Flemish government
P11216	Best Western hotel ID	identifier for a hotel operated by Best Western
P11217	Culinary Heritage of Switzerland ID	identifier for a food product in the Culinary Heritage of Switzerland online encyclopedia
P11218	New Zealand Legislation ID	identifier for a statute or other legislation on the New Zealand Legislation website
P11219	Travel Weekly hotel ID	identifier of a hotel listed on the Travel Weekly website
P11220	fruit color	color of the fruit of a plant species, hybrid, or cultivar
P11221	email unsubscribe URL or email	website or email address which allows a user to unsubscribe to an email subscription for news, announcements, offers and updates relating to an organisation, product or service
P11222	Accor hotel ID	identifier of a hotel operated by Accor Hotels
P11223	OpenCritic outlet ID	identifier of a gaming media outlet in the OpenCritic database
P11224	Aathavanitli Gani film ID	identifier for Marathi films as described by Aathavanitli Gani website
P11225	ID of část obce díl	ID of the auxiliary statistical territorial unit "část obce díl" accordings to the Czech statistical register RSO
P11226	Livres Hebdo ID	identifier for a publisher or person on the website Livres Hebdo
P11227	AniList staff ID	identifier for a staff on AniList
P11228	Dictionary.com entry	identifier for an entry in Dictionary.com
P11229	Golfdata ID	identifier for a golf player at Golfdata
P11230	Collins Online English Dictionary entry	identifier for an entry in the Collins Online English Dictionary
P11231	has biological vector	a taxon which functions as a vector for this pathogenic biological group
P11232	EuDML journal ID	identifier of a journal in the European Digital Mathematics Library
P11233	SciSpace author ID	identifier for an author on the SciSpace website
P11234	Oblio author ID	identifier for an author of the Italian academic journal Oblio, regarding Italian literature
P11235	Dams in Japan number	external identifier for Japanese dams
P11236	SNE publisher ID	identifier for a publisher on the director of the 'Syndicat national de l'édition'
P11237	KOBIS people ID	identifier for a people on the database of the Korea Box-Office Information System (KOBIS) provided by the Korean Film Council
P11238	OpenML dataset ID	identifier for a dataset in the OpenML database of open datasets for machine learning
P11239	DFK Paris person ID	identifier for a person in the German Centre for Art History (DFK Paris) databases
P11240	PIM publication ID	identifier of the Petőfi Literary Museum's database of books, journals
P11241	Pittori Liguri ID	identifier for a painter from Liguria (Italy) in the website Pittori Liguri
P11242	USTC ID	identifier of an edition in the Universal Short Title Catalogue
P11243	EPA ID	identifier of a periodical in the Electronic Periodical Archive of the National Széchényi Library
P11244	Databank Beschermheiligen anno 1959 ID	numeric identifier in the database of patron saints in the Netherlands and Flanders
P11245	YouTube handle	unique identifier of a person, organization or channel on YouTube; do not include the "@" symbol
P11246	hackage package	name of a package on Hackage
P11247	Observation.org location ID	Identifier for a locationon Observation.org
P11248	Diskograf artist ID	identifier for an artist in the Diskograf database
P11249	KBR person ID	identifier for a person in the online public catalogue of the Royal Library of Belgium (KBR)
P11250	Miraheze article ID	identifier of an article on Miraheze. Format: subdomain:Page_title
P11251	ILNM ID	identifier for an item in the Federal Inventory of Landscapes and Natural Monuments of National Importance of Switzerland
P11252	Trismegistos author ID	identifier for an ancient author in the papyrological database Trismegistos
P11253	Packagist package	identifier of a package on Packagist
P11254	translation contribution URL	URL of a website where you can contribute translations to the subject
P11255	Cinemaazi people ID	identifier for a person in cinemaazi.com, a encyclopedic resource about Indian cinema by the Indian Cinema Heritage Foundation
P11256	Cinemaazi film ID	identifier for a film in cinemaazi.com, a encyclopedic resource about Indian cinema by the Indian Cinema Heritage Foundation
P11257	MAK Collection Online person ID	identifier for a person in the MAK Collection Online
P11258	MAK Collection Online object ID	identifier for an object in the MAK Collection Online
P11259	BookWalker series ID (JP version)	identifier for a book series on Japanese version of BookWalker
P11260	list item	qualifier for "union of" (P2737) and "disjoint union of" (P2738) to identify constituent entities
P11261	toli.query.mn lexeme ID	identifier for a lexeme in the Mongolian dictionary at toli.query.mn
P11262	toli.gov.mn lexeme ID	identifier for a lexeme in the Mongolian dictionary at toli.qov.mn
P11263	The Britannica Dictionary entry	identifier for an entry in The Britannica Dictionary
P11264	mongoltoli.mn lexeme ID	identifier for a lexeme in the Mongolian dictionary at mongoltoli.mn
P11265	alt text	alternative text used when an image can't be rendered or when accessed from assistive technology such as a screen reader
P11266	contact page URL	URL to the official page listing the subject's contact information or a contact form
P11267	Nomenclature de tous les noms de rosiers ID	identifier of a rose cultivar in "Nomenclature de tous les noms de roses, connus, avec indication de leur race, obtenteur, année de production, couleur et synonymes", 2nd edition, by Léon Simon and Pierre Cochet
P11268	press information URL	URL to the official page of the subject's press kit
P11269	changeset	URI to a changeset in an online version control system
P11270	RomArchive person ID	identifier for a person or organization on RomArchive
P11271	African American Visual Artists Database ID	identifier for entry on African American Visual Artists Database
P11272	Bureau of Meteorology location ID	identifier of a location within Australia on the Bureau of Meteorology website providing weather observations and forecasts
P11273	Epigraphic Database Heidelberg ID	identifier for Latin and bilingual (usually Latin/ancient Greek) inscriptions
P11274	Dicionário de Gentílicos e Topónimos lemma ID	identifier for a lemma in the toponym and demonym dictionary published by O Instituto de Linguística Teórica e Computacional
P11275	manchu.work lexeme ID	identifier for a Manchu lexeme in the online dictionary set up by 纳罕哈哈
P11276	Professional Referee Organization ID	identifier for a professional soccer referee by the Professional Referee Organization on proreferees.com
P11277	CIViC gene ID	identifier for a human gene in the CIViC database
P11278	Athletics Canada ID	identifier for an athlete's page on Athletics Canada website
P11279	is a number of	this entity is a number representing the quantity of this item
P11280	Ma'agarim ID	identifier for a Hebrew lexeme in the Historical Dictionary Project of the Academy of the Hebrew Language
P11281	Biographical Dictionary of the Australian Senate ID	an entry in the Biographical Dictionary of the Australian Senate
P11282	Tanzania Parliament member ID	identifier for a member of the Parliament of Tanzania
P11283	JCDb ID	identifier for a film in the Japanese Cinema Database
P11284	Dictionnaire de l'Académie française ID (1st edition)	identifier for a lexeme on the 1st edition of the Dictionnaire de l'Académie française on the Académie française website
P11285	Dictionnaire de l'Académie française ID (2nd edition)	identifier for a lexeme on the 2nd edition of the Dictionnaire de l'Académie française on the Académie française website
P11286	Dictionnaire de l'Académie française ID (3rd edition)	identifier for a lexeme on the 3rd edition of the Dictionnaire de l'Académie française on the Académie française website
P11287	Dictionnaire de l'Académie française ID (4th edition)	identifier for a lexeme on the 4th edition of the Dictionnaire de l'Académie française on the Académie française website
P11288	Dictionnaire de l'Académie française ID (5th edition)	identifier for a lexeme on the 5th edition of the Dictionnaire de l'Académie française on the Académie française website
P11289	Dictionnaire de l'Académie française ID (6th edition)	identifier for a lexeme on the 6th edition of the Dictionnaire de l'Académie française on the Académie française website
P11290	Dictionnaire de l'Académie française ID (7th edition)	identifier for a lexeme on the 7th edition of the Dictionnaire de l'Académie française on the Académie française website
P11291	Dictionnaire de l'Académie française ID (8th edition)	identifier for a lexeme on the 8th edition of the Dictionnaire de l'Académie française on the Académie française website
P11292	man page	man page that describes the subject
P11293	Amazon.com browse node	node related to this concept on amazon.com
P11294	TV Maze episode ID	identifier for a television series episode on the TV Maze film database
P11295	International Computer Game Collection work ID	identifier of a work in the International Computer Game Collection online database
P11296	Cultural Good of Croatia ID	reference number in the Register of Cultural Goods of Croatia
P11297	JLect entry ID	identifier for an entry in JLect - Japonic Languages and Dialects Database Dictionary
P11298	Open Korean Knowledge Dictionary sense ID	identifier for a sense of a lexeme in the open dictionary hosted by the National Institute of Korean Language
P11299	Packard Humanities Institute (PHI) Greek Inscriptions ID	identifier for an ancient Greek inscription in the database Packard Humanities Institute (PHI) Greek Inscriptions
P11300	MyAnimeList magazine ID	Identifier for a manga magazine on MyAnimeList
P11301	Online Torwali Dictionary ID	identifier for a word or phrase in the CLE Online Torwali Dictionary
P11302	Google Product Taxonomy ID	ID for the product related to this concept on the Google Product Taxonomy
P11303	IRIS UNIBA author ID	identifier for an author in IRIS UNIBA, the open-access repository of the University of Bari
P11304	IRIS UNIFG author ID	identifier for an author in IRIS UNIFG, the open-access repository of the University of Foggia
P11305	IRIS LUM author ID	identifier for an author in IRIS LUM, the open-access repository of the Libera Università Mediterranea
P11306	IRIS UNISALENTO author ID	identifier for an author in IRIS UNISALENTO, the open-access repository of the University of Salento
P11307	tuxDB game ID	identifier of a video game in the tuxDB database
P11308	GCD issue ID	identifier for a comic book issue in the Grand Comics Database (GCD)
P11309	Geograph Deutschland image ID	identifier for an image from Geograph Deutschland
P11310	ResearchGate journal ID	identifier of a journal in ResearchGate
P11311	Lygaeoidea Species File ID	identifier for a taxon on the Lygaeoidea Species File website
P11312	Beatport release ID	identifier for a release on Beatport.com music site
P11313	Diskograf song ID	identifier of a song given by Diskograf online database
P11314	Diskograf label ID	identifier for a Malaysian record label in the Diskograf database
P11315	INKR title ID	identifier for a comic on INKR Comics
P11316	BRUZZ topic ID	identifier for a topic on the BRUZZ website
P11317	negates property	this property negates the specified property
P11318	Kanjipedia kanji ID	identifier for a kanji on Kanjipedia
P11319	Little Academic Dictionary ID	identifier for a lexeme in the Малый академический словарь (1999) as hosted on the Fundamental Electronic Library of Russian Literature and Folklore
P11320	Play:Right series ID	identifier of a video game series in the Play:Right database
P11321	Play:Right company ID	identifier of a company in the Play:Right database
P11322	18th Century Russian Dictionary ID	identifier for a lexeme in the Словарь русского языка XVIII века (1984-1991) as hosted on the Fundamental Electronic Library of Russian Literature and Folklore
P11323	Mac OS creator code	code used formerly by Mac OS to identify file and program creators
P11324	Parliamentary Archives ID in United Kingdom	identifier of this item on the Parliamentary Archives website
P11325	Parliamentary Office number in United Kingdom	reference number assigned by the Clerk of the Parliaments to original Acts of Parliament passed in a given Parliamentary session to be kept in the House of Lords Record Office (now the Parliamentary Archives)
P11326	impressum URL	URL to the impressum or imprint of the subject's official website
P11327	membership number	number given to an entity to identify them within an organization
P11328	Dehkhoda ID	identifier in the Dehkhoda Dictionary of Persian as hosted by the University of Tehran
P11329	Game-Rave ID	identifier of a video game in the Game-Rave database of PlayStation video games
P11330	Crunchyroll series ID	identifier for an anime series on Crunchyroll
P11331	CCFr document ID	identifier for a document on the collective catalog of France
P11332	MTV Germany music video ID	identifier for an music video on MTV Germany site
P11333	Expertes ID	identifier of a woman on the expertes.fr website
P11334	CSO topic ID	Computer Science Ontology topics: automatically generated taxonomy of research topics in the field of Computer Science
P11335	Shōsetsuka ni Narō work ID	identifier for a work on Shōsetsuka ni Narō
P11336	Fascist Latin Texts author ID	ID for an author in Fascist Latin Texts database
P11337	Twitter community ID	identifier of the Twitter community about the subject
P11338	worldofsam ID	identifier of a product in the worldofsam database of SAM Coupé software
P11339	Can I Play That? Games Codex game ID	identifier of a video game in the Can I Play That? Games Codex
P11340	ntower ID	identifier of a video game in the ntower database
P11341	OpenStates person ID	identifier for person entries in OpenStates.org
P11342	Indiana State Historical Marker Program numeric ID	
P11343	The Israeli Opera person ID (heb)	identifier for a person on The Israeli Opera website
P11344	French basketball championship ID (new schema)	new schema for the identifiers of the French league of basketball
P11345	Cinematografo.it name or company ID (new)	Cinematografo.it name or company ID
P11346	Cinematografo.it film ID (new)	identifier for a film in the Italian website Cinematografo.it
P11347	Scottish National Dictionary lexeme ID	identifier for a word in the Scottish National Dictionary at dsl.ac.uk
P11348	Anime-Planet manga ID	identifier for a manga on Anime-Planet
P11349	Anime-Planet anime ID	identifier for an anime on Anime-Planet
P11350	Urdu Lughat ID	identifier for a word in the Urdu Lughat dictionary
P11351	Czech structural object ID	identifier of building in the RÚIAN database in the Czech Republic
P11352	Anime-Planet character ID	identifier for a character on Anime-Planet
P11353	Anime-Planet people ID	identifier for a person on Anime-Planet
P11354	Bandcamp release ID	identifier for a release in the Bandcamp database
P11355	KOBIS film festival ID	identifier for a film festival in the KOBIS database
P11356	grading system	value indicators used by educators to evaluate the performance of the pupils in exams on the standard particular scales which is based on the points entirely and consist of the grades like A-F or range like 1-10
P11357	MangaUpdates author ID	identifier for an author on MangaUpdates
P11358	MangaUpdates publisher ID	identifier for a publisher on MangaUpdates
P11359	GBDB ID	identifier of a video game in the GBDB database
P11360	Play:Right class ID	identifier of a class (arcade system) in the Play:Right database
P11361	Adventure's Planet ID	identifier of a video game in the Adventure's Planet database
P11362	NSR stopplace ID	identifier for a public transport stop in the Norwegian National Stop Register
P11363	BookWalker series ID (global version)	identifier for a book series on global version of BookWalker
P11364	Aathavanitli Gani song ID	identifier for Marathi musical works as described by Aathavanitli Gani website
P11365	Archaeology Data Service ID	identifier for a work in the Archaeology Data Service Library database
P11366	Archives West repository ID	identifier for retrieval of finding aids for a repository on Archives West
P11367	AHNMNH publication ID	identifier for a publication in the Annales Historico-Naturales Musei Nationalis Hungarici
P11368	Betrail runner ID	ID for a trail runner in France and Benelux on the Betrail website
P11369	Bane NOR Network Statement ID	identifier for Norwegian railway stations and lines in Bane NOR's Network Statement
P11370	Canadian Broadcasting Corporation Gem ID	Identifier for a Canadian Broadcasting Corporation GEM (a media URL for a television series, television episodes, documentaries, or other media)
P11371	Cimetière russe ID	identifier for a person on 'Cimetière russe' project
P11372	CocoaPods pod	entry for an project in CocoaPods
P11373	Central Product Classification Code version 2.1	classification code of a good or service as issued in version 2.1 of the Central Product Classification published by the United Nations Statistical Commission
P11374	Copernicus EMS ID	Copernicus Programme Emergency Management Service rapid mapping activation code
P11375	CSD Refcode	Unique alphanumeric ID assigned by the CCDC to a crystal structure when it is added to the CSD
P11376	Game Boy hardware database ID	identifier of a video game cartridge in the Game Boy hardware database
P11377	Sega-Saturn.net ID	identifier of a video game in the Sega-Saturn.net database
P11378	DML-CZ publication ID	identifier for a publication in DML-CZ (Czech Digital Mathematics Library)
P11379	Dongqiudi.com player ID	identifier for an association football/soccer player on Dongqiudi.com
P11380	ECOF saint ID	identifier for a saint on the website of the 'Confrérie Saint-Irénée', affiliated to the ECOF
P11381	Famicom World ID	identifier of a video game in the Famicom World database
P11385	camera lens	camera lens item used by the photo or video camera; or in a photo item, the lens used to take it
P11386	Listal ID	identifier for a person, a character, a creation or a place in the Listal database
P11387	image processor	digital camera image processor
P11388	Hilton Hotel ID	identifier of a hotel operated by Hilton Hotels
P11389	Flemish Heritage designation object ID	identifier for a designation object in the database of the Flemish organization for Immovable Heritage
P11390	IDG IT-ord ID	identifier for Swedish IT words in IDG IT-ord
P11391	Nintendo World Report ID	identifier in the Nintendo World Report database
P11392	Nintendo-Online ID	identifier of a video game in the Nintendo-Online database
P11393	RetroAchievements ID	identifier in the RetroAchievements database
P11394	Internet Sacred Text Archive ID	identifier for an entry on the Internet Sacred Text Archive website
P11395	ISFDB award ID	identifier for an award in the Internet Speculative Fiction Database
P11396	KOBIS film company ID	identifier for a film company in the database of the Korea Box-Office Information System (KOBIS) provided by the Korean Film Council
P11398	LMI ID	unique ID of geographical location in Iceland from the database of Landmælingar Íslands (National Land Survey of Iceland) that holds information about the location name, GPS coordinates, type and akas
P11399	Mertens-Pack 3 Number	ID for a work on the Mertens-Pack 3 Online Database
P11400	microtransaction.zone ID	identifier of a video game in the microtransaction.zone database
P11401	note.com user ID	identifier for a user on note.com
P11402	NSR doctor ID	identifier of a Malaysian doctor on the database of National Specialist Register
P11403	Occitanie Livre et Lecture ID	identifier for a person or an organization on the directory of Occitanie Livre et Lecture
P11404	Oh!FM-7 ID	identifier of an item in the Oh!FM-7 database
P11405	Olympedia venue ID	identifier for a venue in the Olympedia database
P11406	CRAB ID	CRAB street code for streets in Flanders, Belgium
P11407	Ozon person ID	identifier for a person on the website of the Russian online store Ozon
P11408	Pixiv Encyclopedia ID	identifier for an article on Pixiv Encyclopedia
P11409	Plazi reference ID	identifier corresponding to publications and scholarly articles relating to taxonomy, stored in Plazi
P11410	Programming Language Database ID	identifier for a programming language's unique ID in the Programming Language Database
P11411	Pocket Gamer ID	identifier of a video game in the Pocket Gamer database
P11412	minimum focusing distance	minimum focusing distance between the camera and the object required by the objective to be able to focus
P11413	sampling rate	frequency at which a system measures a continuous-time signal
P11414	Museo Egizio in Turin ID	authority identification for an object in the collections of the Museo Egizio in Turin
P11415	image stabilizer	system to achieve image stabilization in photographs and video
P11416	Strong's number	number to identify Ancient Greek and Hebrew lexical items attested in the Bible
P11417	Le Grenier du Mac ID	identifier of a video game in the Le Grenier du Mac database
P11418	RPG Site game ID	identifier of a video game in the RPG Site database
P11419	Classic Adventures Solution Archive game ID	identifier of a video game in the Classic Adventures Solution Archive database
P11420	Middle English Dictionary entry ID	identifier of an entry in the Middle English Dictionary
P11421	Taiwanese-Japanese Dictionary ID	identifier of a lexeme in the Taiwanese-Japanese Dictionary
P11422	Cambridge Dictionary entry (British English)	identifier for an entry in the British English version of the Cambridge Dictionary
P11423	Cambridge Dictionary entry (American English)	identifier for an entry in the American English version of the Cambridge Dictionary
P11424	service options	options for eating at a restaurant, café, etc
P11425	Dark Patterns Games ID	identifier of a mobile game in the Dark Patterns Games database
P11426	amstrad.es ID	identifier of a video game in the amstrad.es database
P11427	UVL source ID	identifier of a source in the Universal Videogame List
P11428	Rugby League Record Keepers Club player ID	identifier for a player on the Rugby League Record Keepers Club website
P11429	NIP	Public official identifier in Indonesia
P11430	UniProt disease ID	identifier for a disease in the UniProt database
P11431	DBpia journal ID	identifier for a journal in the DBpia database provided by Nurimedia
P11432	Garuda journal ID	identifier of a Indonesian scientific publication (journal and conference) in the Indonesian Garba Rujukan Digital (Garuda)
P11433	Hungarian Film Archive person ID	ID of a person in the database of the Hungarian Film Archive
P11434	ComingSoon.it person ID	identifier for a person on the website ComingSoon.it
P11436	DBpia publisher ID	identifier for a publisher in the DBpia database provided by Nurimedia
P11437	Disused stations ID	ID for a former UK railway station at the Disused stations site
P11438	MQWW poet ID	poet ID of the Ming Qing Women's Writings (MQWW) database
P11439	Nîmes cemeteries ID	identifier for a person buried in one of the public cemeteries of Nîmes
P11440	REGON ID	registration number of a business entity in Poland
P11441	Shōsetsuka ni Narō user ID	identifier for a user on Shōsetsuka ni Narō
P11442	SINTA journal ID	identifier of a journal in the Science and Technology Index (SINTA)
P11443	SINTA author ID	identifier of an author in the Science and Technology Index (SINTA)
P11444	SMA ID	identifier for a religious on the SMA website
P11445	Spiritains ID	identifier for a person on the website of the Holy Ghost Fathers
P11446	Strazha ID	identifier of past or present MPs and legislative terms of the National Assembly of Bulgaria on Strazha.bg
P11447	Tabelog restaurant ID	identifier for an individual restaurant on Tabelog
P11449	TV Maze person ID	ID for a person on TV Maze
P11451	utas.hu ID	identifier for Hungarian train stations, bus stations and bus stops
P11452	VG-lista album ID	identifier for an album on the record chart VG-lista's website
P11454	Afisha person ID	identifier for a person on Afisha
P11455	Catalogo storico ragionato degli scrittori sardi dal IV al XXI secolo ID	identifier for an Italian author from Sardinia in the Catalogo storico ragionato degli scrittori sardi dal IV al XXI secolo
P11456	Macmillan Dictionary entry (British English)	identifier for an entry in the British English version of the Macmillan Dictionary
P11457	Macmillan Dictionary entry (American English)	identifier for an entry in the American English version of the Macmillan Dictionary
P11458	Wyndham hotel ID	numerical identifier for a hotel operated by Wyndham Hotels
P11459	VideoGameGeek series/franchise ID	identifier of a video game series or franchise in the VideoGameGeek database
P11460	Plex media key	24 hex character identifier for media item on Plex; different than watch.plex.tv url slug
P11461	Digital Hanja Dictionary ID	ID for a Korean Han character in Digital Hanja Dictionary
P11462	Africultures structure ID	identifier for a structure at Africultures.com
P11463	travel advisory category	advisory category issued by a government regarding travel to another country or territory
P11464	model lexeme	model lexeme entity for a paradigm, conjugation class, etc.
P11465	Military Historical Archive exile army member ID	identifier for a member of the Czech exile army (WW2) in the database of the Czech Military Historical Archive
P11466	The Israeli Opera (English) person ID	identifier for a person in English on The Israeli Opera website
P11467	J.League referee ID	identifier for association football referee on Japan Professional Football League website
P11468	PodLink ID	ID for a podcast on Podlink, a podcast link sharing and landing page service
P11469	VG-lista song ID	identifier for a song on the record chart VG-lista's website
P11470	Webtoon creator ID	identifier for a comics creator in Webtoon platform
P11471	WikiRate company ID	ID of an organization at WikiRate
P11472	Yahoo! Japan News publisher ID	identifier for a publisher on Yahoo! Japan News
P11473	Concepticon concept set ID	ID for a concept set in Concepticon
P11474	Ès lettres ID	identifier for a record on "Ès lettres"
P11475	Dictionary of Variant Chinese Characters ID	ID for a sinogram in the Dictionary of Variant Chinese Characters from Taiwan (used in item only, not lexeme)
P11476	eBookJapan books ID	identifier for a book series on eBookJapan
P11477	STEDT ID	identifier for an etymon in STEDT (Sino-Tibetan Etymological Dictionary and Thesaurus)
P11478	Matrix room ID	identifier for the official Matrix room of an institution or project
P11479	British Music Collection score ID	identifier for a musical composition on the British Music Collection website
P11480	Nişanyan Sözlük lexeme ID	identifier for a Lexeme on the online Nişanyan dictionary
P11481	Green's Dictionary of Slang ID	identifier for an entry in the online edition of Green's English slang dictionary
P11482	Longman Dictionary of Contemporary English Online entry	identifier for an entry in the Longman Dictionary of Contemporary English Online
P11483	Anadolu Agency infographic ID	identifier for an infographic by Anadolu Agency
